Serial,Role,Input,RoleRef,Probability Distribution
478,Java Developer,lincoln group around 7 years j2ee framework experience multi tier core java jdbc servlets jsp ejb spring mvc expertise j2ee jsp servlets jdbc mvc web frameworks struts jsf spring 3 uml rational rose multi threading execution file io garbage collection and serialization expert spring core spring spring aop spring mvc expertise spring framework mvc transactions orm jdbc orm jsf struts mvc spring security spring boot spring spring aop web services java j2ee design patterns aws ec2 eclipse java amazon web services docker good object oriented analysis and design experience soap web services mvc custom deployed services jenkins meson marathon front end dhtml css java jquery jsf ajax external js angular jms java messaging service java spring cloud rdbms queries functions stored procedures cursors soa jdo ejb web services sql pl sql expertise spring boot spring microservice netflix eureka websphere application server mq series pivotal cloud foundry docker github web sphere ide eclipse test driven development tdd waterfall svn cvs lincoln group april 2018 philadelphia lincoln financial group lincoln financial responsibilities utilized spring applications java j2ee technologies mvc 4 jquery bootstrap sql java j2ee jsp jndi jms xml eclipse dns server 2003 micro services micro services javascript working on unix migration drools item handlers nodes join update bootstrap dockers structures kubernetes multiple tomcat adobe flex apache tomcat bootstrap adobe flex elastic search oracle sql lob etl micro sas data service monitored ga eap servlets struts j2ee components javascript jquery css3 responsive design mysql mvc business delegate service locator session singleton develop unix java script json good xml xslt xsd web services soap dtd schema namespaces jdom environment java 7 javascript struts jsf jms ejb ibm mq december 2015 to march 2018 capital one a single sign on sso ease capital one responsibilities developed spring controllers service esd edd java components experience spring mvc controllers spring hibernate web services hibernate and spring framework written rdms oracle helped ui jstl spring tags jsp singleton class ant ci maven wrote sql stored procedures jira jersey axis selenium apache http sql java script css ant maryland april 2012 to november 2015 content management the content retrieval the financial application budget responsibilities involved in sdlc agile ibm the spring web flows development orm db2 hibernate handled transaction management jsp json spring hibernate jsp spring mvc sessions ssl technical json ssl create database connectivity jdbc spring orm the stories in agile methodology environment soap javascript jenkins sql virginia george mason 2001 rabbit mq ide tools ibm ibm xml xslt design patterns cloud platform javascript ajax,Java Developer,{2: 1.0}
479,Java Developer,college partnership program java developer college partnership program java developer college partnership program java developer work experience college partnership february 2019 may 2019 java ide shoprite pos java connected junit pos school of engineering september 2014 may 2019 school of engineering it support ubuntu linux co games society september 2014 may 2019 co parsipanny nj may 2018 to august 2018 pos powershell servicenow rutgers university october 2016 to december 2017 java android studio created extracurriculars awards rutgers university windows macos linux april 2015 to april 2015 2nd optum category april 2017 bachelors of arts september 2014 may 2019,Java Developer,"{2: 0.9230769230769231, 7: 0.07692307692307693}"
480,Java Developer,sr java sr java aws aspect phoenix az 8 years core java j2ee 3 years aws ec2 elb ebs route53 cloud watch cloud trail aws ec2 relational database services rds experience cloud formation created aws security groups aws ec2 spring framework spring boot hibernate extensive ibm db2 oracle sql sql amazon amazon web services good aws cloud glacier cloud trail java 1 8 lambda parallel streams experienced serialization io multithreading collections concurrency and exception handling experience javascript node sql pl sql functions views triggers sql java competence java ide eclipse notepad sublime xml suite xml xsd dtd xml schema soap restful cxf jersey rest template python scripting ear war jar jira test driven development tdd pair programming involved ant log4j proven us aspect phoenix az january 2019 nat aws s3 ec2 ecs cloud rds route 53 lambda proficient query type script js node ajax angular angular2 designed spring boot bootstrap angular ui ui xhtml jquery angular javascript js angular mvc factory delegate singleton development of python api aws cloud services aws stack aws ec2 mongo db web services jersey spring container controller hql mysql used jenkins svn git and jenkins git deployed java j2ee tomcat application deployed spring boot docker amazon ec2 aws ci jenkins worked spring hibernate july 2016 to december 2018 atlassian bpm bpm bpm ibm sphere business monitor bpm business route 53 bpm bam def jdbc bpm ssl security group aws ec2 aws elastic ip s auto scaling aws elastic beanstalk developed aws lambda aws python aws lambda core java apis java 8 java created sql jdbc oracle 11 used jax rs restful api json created auto scaling jms j2ee esb the xml files environment java 1 8 python jquery spring 4 0 web services atlanta august 2014 may 2016 multi j2ee apache ant1 5 jsp xml used subversion svn tomcat jsp java j query j query jsf jsf ui components validator events j2ee j2ee singleton developed core java collection framework distributed multi j2ee technologies servlets ejb jdbc jms spring database apache tomcat and jboss used web controllers views and validators oracle oracle sql ajax eclipse3 4 apache camel restful sql cleveland october 2012 to july 2014 solr singleton factory session fa ade business delegate junit mockito pl sql oracle xml jsp jstl jquery javascript jboss java script mockito ant detroit april 2010 to september 2012 mvc architecture jsp struts participated jsp java netbeans ajax j2ee jdbc java beans ejb the web application involved in unit and integration testing used svn supported maintenances object oriented design ooad environment java 1 5 jsp cv education bachelor s skills spring jms jsf jsp sql c j2ee servlets jsp jdbc ejb jms ajax java script xml cloud watch sws database oracle 10g 11g ide rational clear case svn apache subversion cvs,Java Developer,{2: 1.0}
481,Java Developer,sr java j2ee sr java j2ee around 7 years java j2ee actively software development life front end ui js backbone js multi threading solid n tier web j2ee design patterns session facade servicelocator business delegate dao data singleton hibernate spring strutsframeworks extensive application micro services webservers weblogic web services rdbms ibm db2 sql unix deployment of applications in server experienced jms applications used apache ibm jms aws ec2 configure micro cdt directory cdt directory jenkins micro controls pie charts visual source safe ant jira experience java ide eclipse us mufg monterey park ca july 2016 sdlc soa javascript jsp xlts bootstrap built javascript restful web services json system spring model view controller spring aop spring mvc oracle relational sql used spring core annotations for dependency injectionspring mvc created rest spring boot tomcat restful jax rs jersey oauth consumed rest angular js http sql queries oracle db experience jersey aws ec2 r53 rds emr amazon ec2 aws developed awslambda rds api gateway jms cdt directory angularjs create groovy jenkins used groovy shell process implemented service oriented architecture jms junit andmockito focused test driven development websphere application server jenkins integration used git spring tool suite sts ide environment javascript ajax mvc mockito linux sts relus technologies peachtree corners ga may 2015 to july 2016 responsibilities planning agile scrum methodology involved daily scrum sprint demo ui angular spring mvc spring integration hibernate orm rest web services jms handset purchase converted xml java amazon ec2 aws jms create update oracle andpostgresql application ide svn weblogic windows unix throughput xml xslt xquery xslt used git jira ajax spring spring aws jms jaxb oracle log4j rest buxton consulting pleasanton ca march 2013 may 2015 ui ajax bootstrap ajax xml mvc architecture struts framework developed jsp third java script jersey xml dom sql oracle singleton java ejb mainframe db2 wrote stored procedures ibm xml dom the test cases sql used rational clear case clear quest ibm unix javascript xml sql pl sql eclipse january 2012 to march 2013 sdlc agile methodology involved user interfaces dojo tool kit css jsp third java script jsf mvc framework involved spring configuration xml spring ioc jms singleton java ejb mainframe db2 ibm web services soap wsdl uddi xml cxf apache commons worked dom created sql xml unittesting the test cases developed bugfixing the integrationtestingphase implemented pl sql clear quest jboss application server worked unix java lenmar consulting jersey city november 2010 to january 2012 sql pl sql spring oracle eclipse 2012 responsibilities extensively use of core java monthly presentation restful ajax layer jsp javascript jdbc entity svn ide jira environment java j2ee html struts jdbc 7 years 7 years 7 years 7 years 7 years sql j2ee technologies servlets jdbc jsf jms ejb xml technologies javascript ajax node jenkins apacheactive mq web soap restful uddi ibm jboss web logic toad eclipse spring tool suite mybatis soap ui sun solaris,Java Developer,{2: 1.0}
482,Java Developer,around 8 years web java j2ee experience java j2ee jsp servlets jms apache camel mule esb good spring ioc spring batch spring spring jdbc xsl java j2ee singleton factory mvc extensive soa patterns logical analysis quality assurance experience amazon web services experience json jquery soa architecture restful sql sql writing javascript python php apache camel apache tomcat version control systems svn git hub ant sonar pmd unit testing frameworks and continuous integration tools work experience java software march 2017 angular 4 5 typescript angular components and services cors entitlement crud php api php coffeescript developed soap sql pl sql spring ioc spring boot spring batch db records consumed restful services jax rs jersey coded test cases mock objects jmock spring ioc php web services weblogic environment 7 1 8 hibernate spring restfulservices php javascript charles schwab august 2016 to february 2017 oracle db angular ui aws ec2 ebs crud wordpress php aws glacier api amazon lambda aws node javascript side spring restful web json xml environment spring web jsp node mangstor llc austin tx june 2014 to august 2016 uml unified modeling language requirements boot spring batch db coded test cases mock objects jmock node mvc sql php doctrine propel sql crud quality and process improvement testing team provide functional testing maintained nosql consumed restful services jax rs jersey developed stored procedures functions deployed mule esb mmc mule management console used mmc coded test cases mock objects jmock environment spring framework sql junior java visa inc september 2012 may 2014 xml responsible for design implementation of online singleton java script struts validation framework use cases and test cases unit test development of pl sql stored procedures development of ui mock prototype java script word press php coding javascript xsl eclipse ide tomcat june 2010 to july 2012 sdlc design analysis struts javascript developed action validation session entity on websphere application server implement java multi threading java scripts ajax ibm applications involved modifying javascript soa servlets jsp jdbc db2 education bachelors computer science jntu skills java 7 years 7 years 5 years sql 5 years 4 years java j2ee sql soap jms ejb web services aspx 10g 11 sql 2000 projects,Java Developer,{2: 1.0}
483,Java Developer,java j2ee consultant java j2ee consultant java j2ee consultant alpharetta 8 years java j2ee experience agile scrum active core java core java exception handling interfaces experienced bootstrap vbscript ajax adobe flex libraries expertise java j2ee spring hibernate middleware hibernate jpa jdbc java pojo query language spring framework mvc ioc aop jdbc jta io spring spring jdbc tag libraries jsf tags struts display tag spring 3 middleware java query language projections web services soap restful configuring middleware apigee jboss jbpm amazon web services aws extensive ec2 ebs vpc cloud watch cloud front sns sqs dockercontainers ami kafka kafka configuration installed pcf vmware aws cf java ee mvc singleton factory adapter service locator business delegate tomcat websphere weblogic jbossservers kubernetes sql oracle db2 sql cassandra couchbase ant mockito jmeter ide eclipse rational application developer rad netbeans splunk log management creating email notification to users experience us t alpharetta ga march 2018 american rational rose j2ee mvc used j2ee tiles framework mvc di spring search engine optimization seo jenkins utilized object oriented programming js dom javascript jquery custom mvc spring mvc javascript angular js jquery css3 bootstrap twitter framework angular js design ejb mdb s queue s jms lucene solr struts ajax struts tags xml web services soap soap jaxws jaxrpc jms j2ee subscriber jms multi datacenter database used rad ide eclipse layer svn ant war j2ee environment core java j2ee ajax jms xml design patterns ant ide python weblogic application log4j svn toad fullstack delta january 2017 to february 2018 description delta american airlines atlanta minneapolis snapp soap restful api s swagger yaml responsibilities responsible for scaledagile framework safe story java 8 thread safe angular 6 dom angular desktop json xml restful angular jax rs front end apigee api management apigee edge micro analytics cloud middleware apigee kafka apache spring heavily spring inheritance auto core container security ejb spring quartz soa spring restful micro services spring eureka services discovery apache axis spring boot with spring mvc implemented authentication authorization with site minder spring bootservices reporting dashboard with spring mvc spring framework micro services spring boot spring io spring boot thyme integrated spring cloud amazon web services aws ec2 elastic bean stalk spring rest controllers and services spring created swagger yaml performed swagger swagger building web service contracts soa service written storm kafka cluster zookeeper mongo db magento connector connecting magento api soap used pl sql heavily unions oracle applications query language hql docker spring docker node npm karma jasmine grunt bower installation configuring monitoring and designing shared environment jenkins jenkins jobs ci jenkins gitlab aws ec2 docker built lambda node js express junit mockito versionone versionone environment web services angular j2ee scala mongodb git design patterns pl sql ide oracle 11 september 2015 to december 2016 the vanguard group american malvern pennsylvania the united states logistics j2ee system requirements design mvc factory delegate singleton spring spring quartz restful api spring boot integrated apache camel esb spring java j2ee layer hibernate and spring ioc dependency injection extensively jpa data session soa soap wsdland uddi user interface javascript json jquery ajax jquery ajax creating cross side code ui javascript jsp created elastic load balancer for elastic search jms apache apache cordoba for responsive web design created soap sql sql etl etl xml 6 1 websphere esb hadoop rdbms hive hbase perform python developed python pivotal cloud foundryusing spring cloud sso spring cloud develop spring next web soap ui mockito develop karma jasmine ra environment core java j2ee server 7 web services ejb java script ajax hadoop python ajax karma jasmine java j2ee goldman sachs jersey city nj may 2014 august 2015 goldman sachs group inc goldman sachs execution eod sequence rational rose java j2ee struts jdbc struts j2ee struts jdbc oracle mvc oracle blob worked jsp development ibm jms designed application struts framework mvc struts action struts soap xml used sax xml api xml xml xslt stax web services used jasper apache ant used rational clear case environment flex ejb spring servlets2 1 jasper jms ibm mq xml javascript xslt ibm clearcase log4j ant ibm apache may 2013 to april 2014 j2ee session fa ade singleton uml struts framework developed entity beans sql websphere ant code walkthrough test cases and test plans environment java j2ee jsp jdbc sql 2000 june 2011 to april 2013 specified 18 percent user interface javascript ajax css used javascript servlets jdbc,Java Developer,{2: 1.0}
484,Java Developer,around 8 years web java j2ee good serve jms hibernate mvc xml web services expertise javascript jquery ajax xml xslt xml schemas javascript angular angular mvc model view controller spring boot spring spring transactions implemented spring batch core java io multithreading collections exception networking jdbc good relational j2ee jsp servlets jdbc oracle strong rdbms oracle 10 sql web services technologies soap wsdl jax rs jersey spring apache cxf node js soa db2 sql express angular sql triggers good websphere weblogic apache tomcat good sql hsm module good j2ee testing log4j hands eclipse netbeans excellent communication presentation july 2017 sdlc coding code review and deployment user interface frond end angular js java java j2ee java java server pages spring java core java mvc architecture databases strong j2ee java8 ibm jax rs jersey framework thorough agile scrum spring boot json validated restful api spring boot involved spring mvc coordination system java messaging services node oracle sql java amazon web services aws infrastructure services ec2 aws amazon web services docker amazon ec2 aws mvc aws jira worked used jenkins github java hp alm jira selenium aws mango db sts october 2015 to june 2017 analysis design development dockers container eureka spring boot jenkins amazon sqs react js ec2 created aws ec2 data entry operators ephesoft css media queries ajax javascript the user interface angular weblogic oim soa oracle core java collections multi threading solace appliance messaging implemented micro services spring boot spring cloud soa oim swagger swagger docker docker containers dockers weblogic jta jdbc oim db soa develop rest mvc aws java amazon web services aws aws compute cloud of amazon web services aws worked java aws simple storage service s3 simple queue service sqs micro eureka spring boot jenkins using solr elasticsearch kibana patient data claim data provider data bootstrap the rest services postman and rest client sql flyway expertise java o system swing annotations multi threading lambda and generics heavily jmockito kafka utilize regex regular expressions github environment java spring restful micro services sts june 2014 to october 2015 sdlc agile methodology involved user interfaces dojo tool kit css ajax the graphical user interface javascript css jsp ott mdm jsf mvc framework javascript jquery javascript working qa weblogic jta jdbc oim db soa oim oim spring configuration xml proficiency cassandra jsp third java script spring ioc singleton soa web services soap wsdl uddi xml cxf xml dom created sql the test cases developed weblogic application bug use subversion svn clear quest weblogic application server worked angular js2 j2ee sql pl sql spring oracle eclipse september 2013 may 2014 agile extreme programming developed jsp javascript struts tags algorithms data structures oop s collections struts framework model view controller oracle pl sql unix shell spring ioc logging user interface spring aop integrated spring used spring security for authentication and authorization of the application json query language hql data sql consumed web established database connectivity jdbc spring orm ibm linux the project stories svn javascript angular sql ibm sphere application server june 2012 to august 2013 javascript mercator ibm wtx apollo stored procedures sql ms visio extensively xml xslt gui session used spring mvc mvc use ant support production stage quality center environment java j2ee,Java Developer,{2: 1.0}
485,Java Developer,8 years oop java j2ee expertise use case sequence rational rose java jdbc javascript jfc servlets ejb gwt experienced service oriented architecture soa xml web services rest spring boot and micro services experienced kafka kafka amazon web services aws aws sns sqs expertise 5 css3 aws sdk s spring orm soa components pipes and services angular2 xml xsl xslt xml schemas soa service oriented architecture j2ee web services soap jax rpc apache axis j2ee design mvc singleton session facade service locator visitor front controller maven ci quick build bamboo knowledge xml xsl xslt application servers ibm jboss oracle sql db2 mysql ide eclipse ibm altova smart mobile devices android authorized us april 2017 data angular model view controller java spring mvc spring framework spring core spring aop spring mvc spring security restful soap spring rest developed single page angular js 2 typescript node java objects ci jenkins ansible aws maven aws cloud cloud foundry sql front end angular node mvc build rest node jquery ajax sql sql sql mongo booster working with jboss and tomcat application servers worked on debugging nolio manually git using junit environment java j2ee javascript angular foundry web march 2017 to march 2017 description verizon communications inc america ui backbone jquery bootstrap 3 gwt custom node swing spring j2ee mvc employed spring boot spring batch jdbc mq series jms queues ibm json soap web services soap ui pro the web services involved aws infrastructure ec2 s3 rds sqs cloud formation used docker for creating docker images for launching containers on aws ec2 worked integration of aws elastic search beanstalk kubernetes spring boot svn jms redshift insert bulk mockito easy fit sit end soap jsp ajax css3 backbone bootstrap gwt foundry redshift ec2 mockito sit jenkins kubernetes sr september 2014 to july 2016 description viacom movie and cable cable company viacom java scala ui jbpm data structures agile spring boot framework bean hibernate orm jpa oracle db module pom angular ui selenium for testing helped manual and jenkins used github handled firefox chrome opera safari windows mac javascript oracle paas write bugs spring hibernate ajax node javascript ms office san antonio tx november 2012 to august 2014 the united states weblogic j2ee struts spring weblogic java collections swing serialization and servlets sql stored procedures ddl dml sql sql pl sql sql soap web services soap ui apache spring mvc interceptors mvc backbone js nodejs angular used spring validation ext js ajax json flash flex technology cloud node js pdfjs mongodb sql jms java mailing service api jsp javabeans jstl custom tag libraries ajax java data structures algorithms built jquery drag node js jquery java objects jsp javascript jquery developed jquery built develop perl korn oracle junit emma environment java j2ee swing hibernate core perl spring soap rest filenet ajax xml jquery ext js november 2010 to september 2012 jackson national life insurance company the united states gui automate javascript scala used filenet for content management business processes created responsive layouts jquery applied javascript unix jsf core java javascript web created mvc node js java script mvc weblogic admin managed java j2ee spring framework monitoring weblogic jboss weblogic db2 written log4j sql ant 6 1 rational clear case ibm scala java jsp 6 1 ibm ibm hyderabad telangana august 2009 to october 2010 description evolent health america responsibilities responsible followed sprint daily jsf jsp javascript design patterns singleton abstract factory factory pattern singleton prototype oops ui unit test cases and websphere seam used hibernate wrote test the svn repository crud product managers and business analysts sts ide xml pom xml format java web services soap environment java jsf jsp servlets bachelor s skills java 8 years 8 years 8 years 8 years awt applets multi java networking programming languages php javascript sql pl sql application ibm ejb jms xml ajax,Java Developer,{2: 1.0}
486,Java Developer,java j2ee analysis design development testing implementation and documentation object oriented analysis design patterns experience java j2ee java servlets model view architecture struts jsp jquery ajax spring core annotations for dependency injection spring di spring mvc spring boot build angular version and platform independence experience uml use case state jboss weblogic tomcat experienced ant xsl jaxp experience in service oriented architecture web services soap restful experienced stored procedures stored procedures sql queries experience extensive wsdl web services pleasant version cvs svn experience junit bug bugzilla production and deployment support experience agile scrum methodology weekly us april 2017 einstein voice home einstein agents responsibilities followed agile scrum architecture implemented micro services cloud architecture spring boot designed spring boot spring rest spring security spring data spring cloud config soap rest crud mvc gradle deployed pcf pivotal foundry restart restage cf ui automated ci gocd elastic logstash kibana kibana aws elastic block storage ofebs ajax jquery w3 ready api github learned cable telecom wireless january 2016 to april 2017 mastercard worldwide mastercard mastercard eservice mvc spring mvc login developed business protocol performed crud update delete ui screens javascript environment java weblogic svn ajax javascript salt lake city november 2014 to december 2015 data connection management responsibilities participating in design jsf ice jsp navigation jsf soa soap uml rational rose spring java messaging services mq server mq series worked jms restful web services consumed restful web ide log4j svn websphere soapui oracle jms web services restful singleton design svn sql log4j java walmart bentonville june 2013 to october 2014 mvc shipment details warehouse management center wmc third nature s own faded glory ba system architecture of project mvc j2ee java programmed jsp struts 1 2 struts validate javascript development 2 week daily annotations spring aop spring dao aop used hibernate for object relational mapping struts xml struts sql jsp javascript prod glassfish development environment java 1 jsp javascript xml ajax struts svn jdbc oracle 11 java developer 2012 may 2013 jsp java beans ajax controller oracle jdbc crud followed instrumental excellent svn ant environment core java jsp global solutions pvt ltd september 2010 to 2012 description automotive edi uml rational unified process rup use cases ibm rational rose javascript session web services jsp javascript log4j ant ibm weblogic application server completely xml web services udb satyabhama university june 2010 8 years 6 years 6 years 5 years java j2ee sql j2ee jsf jndi jdbc servlets jsf web technologies xml mysql 5 x sql 2008 2012 ibm bea ibm netbeans ide visio,Java Developer,{2: 1.0}
487,Java Developer,us february 2018 brink s incorporated atm restful spring jax rs used css3 the json object developed user interface controller view jms data sources used java message service queue generator worked xml jms ibm mqseries jms java jms queue spring controller spring mvc spring boot spring dependency injection di spring annotations used used rest controller spring restful web json spring controller json postman worked on spring boot spring boot version svn implemented application jira environment java cbre richardson september 2016 to january 2018 responsibilities developed java html css javascript j2ee liferay portal jsp jstl spring modules mvc ii spring controllers xml sql result set myasis developed third json xml http get post put delete apache axis log4j jms excel liferay portal amazon ec2 jira svn maven ibm win merge db2 myasis sql pl sql ibm application ibm hyderabad telangana may 2015 to january 2016 2003 uml diagrams session facade view helper spring used spring mvc front controller web xml javascript jquery jsp controller soap web mule esb soa a single sign saml xml the eclipse ide websphere sql pl sql oracle toad junit daily rolling log log4j used svn as version control system environment core java sql mule esb ibm ant log4j oracle ui java developer sprint corporation overland park ks january 2014 to february 2015 description sprint kansas sprint embarq centurylink responsibilities responsible designed site gui screen windows java dhtml javascript presentation java server pages servlets developed servlets spring framework s dependency injection involved mvc pagination file javascript oracle used jdbc october 2012 to december 2013 description ameriprise financial inc american ameriprise financial responsibilities worked ui server uml use day jsp css java jquery api weblogic java multi threading orm mvc oracle relational sql restful github environment java 1 6 xml vss windows jr java hyderabad telangana may 2011 to september 2012 taa responsibilities worked on portal group javascript xml http sql sql jdbc sql sql sql jdbc eclipse git jsp jstl j2ee jdbc servlets javascript log4j education bachelor of technology,Java Developer,{2: 1.0}
488,Java Developer,sr java william sonoma 7 years testing extensive sdlc user interaction business analysis modeling design architecture development integration documentation coding testing deployment user interface ui javascript angular js javascript jsp extensive j2ee angular angular 4 expertise enterprise java j2ee jsp jms spring 4 java distributed systems core java j2ee servlets jsp jsf ejb spring struts xml deep spring 4 spring core spring spring annotations inversion of control ioc application context spring aspect orm orm jpa service oriented architecture soa xml web services experience xml json restful web service jersey apache axis sql sql jdbc sql stored procedures functions sql cursors for oracle sql apache tomcat expertise eclipse myeclipse ibm mvc j2ee design patterns singleton session facade service business delegate aws ec2 lambda strong knowledge jenkins junit maven developed junit mockito analytical inter team spirit analytical william sonoma april 2018 application worked the business users spring boot microservices developed spring mvc jsp jsf javascript jquery spring exceptions i o multi threading and collections used javascript angular 2 javascript jquery angular 4 developed aws ec2 web services xml xml schemas eclipse websphere application server websphere application server junit mockito used log4j for logging git for version control actively environment java j2ee hibernate rsa mockito log4j aws oracle db february 2017 to march 2018 spring javascript angular 2 ui jstl custom tags html jsp jsp jstl oracle 11 sql flash builder tomcat writing jsp action classes service eclipse ide maven web sphere representational ui angular 2 analysis design development uat the aws sdk cli tools ec2 spring mvc spring jdbc used j2ee data tomcat used ejbs session jms junit mockito deployed mvc eclipse ide angular 2 jms mockito solutions october 2015 to december 2016 web services soap weblogic sdlc business analyst soap restful soap jax ws application spring mvc spring jdbc sql oops web ejb s and followed the agile log4j eclipse ide built jsp s ear weblogic used agile methodology daily svn rational rose sql oracle database participated spring hibernate lapsys technologies october 2012 to september 2015 mvc spring mvc jsp gui jsp oop programming polymorphism inheritance java jee spring mvc singleton requirement analysis documentation sdlc eclipse sql junit used git for version control eclipse sql eclipse html css javascript servlets sql spring utilities eclipse sql web services build tools javascript,Java Developer,{2: 1.0}
489,Java Developer,angular 2 5 reactjs node responsive design ui jquery mastery box model navigation selectors animations sass dry orientedprogramming oop objects functions as classes methods constructors inheritance polymorphism abstraction encapsulation javascript ajax xml json standards directives services filters guard node express web server framework mongodb database websphere j2ee frameworks struts jsf spring batch spring security spring data multithreading executor services restfulservices xml json rad oracle websphere tomcat eclipse grunt gulp much ide visual eclipse intellij svn gitand putty experience microservicesarchitecture reactjs forms event keys router animations flux heroku heroku cloud sql oracle 11 javascript karma jasmine participation in systems development life cycle sdlc waterfall agilemethodologies team technicial angular jboss databases sql woodland hills ca march 2017 present woodland hills ca march implementing spring spring boot controller micro service restful api spring boot spring spring boot development of web modules aws single angular5 typescript bootstrap javascript css3 angular facilitates angular bootstrap mockups lazy loading restfulweb json jackson spring rest template installed websphere tomcat eclipse bootstrap less http api developed compute cloud of amazon web version control systems svn ant maven log4j used jenkins for ci cd continuous implementation and continuous delivery worked environment java 1 8 github mongo december 2015 to february 2017 spring framework restful web services spring mvc created spring services spring controllers spring framework ioc di mvc ejb configuring programmatic navigation used git jenkins cicd react js flux custom pipes performed ngmodel validation the http services api s with crud operations designed java optimizing used reactjs microservices mac 2008 mockito microservices windows javascript js node ajax sql august 2012 to september 2015 exceptionhandling collection spring sql model view controller spring mvc spring bean factory ioc configuredbean created application server data sources created bus web sphere ant java web created bash perl python websphere query language hibernatevalidator spring framework restful spring mvc java java sql select insert delete update javascript environment java 1 7 git jenkins 6 years 2 years 2 years less than 1 year waterfall version ide microsoft,Java Developer,{2: 1.0}
490,Java Developer,8 years web standalone java ee servlets ejb web services xml xslt java business delegate expertise struts2 0 orm technology sun glass jboss good knowledge design patterns singleton pattern mvc pattern data angular js javascript agile scrum rdbms sql sql sql expertise web development javascript jquery css xml xsl xslt ajax the express js node js expertise aws extensive application web weblogic websphere tomcat and jboss and jboss extensive ide eclipse eclipse netbeans ejb session jndi jms web services un soap jaxws restful extensive uml modeling rational rose and design pattern j2ee singleton vss cvs svn jsf good knowledge java jdbc oracle ms sql mysql ant log4j may 2017 new york choice transportation system vnsny every day vnsny vendors vnsny uml development ui jaxb jsf mvc dom xml xml jaxb j2ee design business delegate and data ms excel itext implemented web services spring framework prepare java j2ee xcode ui jsf xhtml css dojo bulk attributes extjs jquery ajax jsp mvc apache sybase xcode ide weblogic building jboss jdbc weblogic json java stripes web application security appscan veracode analyzing sql queries excel power point unix perl ant java groovy wrote rich text grails design soa soa web service oracle fusion java waterfall daily google javabeans the jersey java rest extjs javascript ui spring mvc ajax junit sonar consumed qa unix putty ftp hummingbird command struts stripes ejb jsf jquery ajax acegi security junit agile uml jboss servlet soa putty january 2016 to april 2017 responsibilities responsible sdlc java j2ee websphere portal the billing module screens jsp mvc framework designed ui jsp java designed display tag library developed action form action spring mvc3 framework billing module business delegate used hql ui jsr the spring frame spring mvc jsp j2ee jsf primefaces jdbc xml http uml rational rose design web soap axis weblogic rational clear case control developed junit environment java j2ee spring mvc 2005 2015 project identity dallas jstl java ext js ajax dom jsp soap soa jsf primefaces involved web services api soap xml schemas xml java messaging services jms jms consumer jms sql pl sql sprint weblogic environment java j2ee pl sql ejb jms oracle xml dom 2008 january 2012 to august 2013 efs efs financial efs efs upon system requirements mvc factory delegate singleton created restful soap visa spring module struts framework database spring mvc framework ioc inversion of control mq http jms saml for single sign xml schema javascript ajax informix ood java classes jaxp java web services xml http web service ejb websphere application java servlets developed ui struts jsp javascript ajax rational rose involved in use case realization use case diagrams rational rose wrote ant scripts db2 wsad ibm mq eclipse ant adobe flex january 2011 to november 2011 apm advanced patient management java java j2ee javascript the software development life cycle struts struts jdbc jdbc apache ant xml db2 august 2009 to december 2010 project mobile telecom nz setup the sun content delivery server environment solaris wap xml jsp xslt nz juke box jsp jstl ajax cds api s xhtml wml cds sql crud javascript sql ajax xml dom xsd xslt css web services mdb 8 1 cvs education bachelors of technology in technology vellore institute of technology 8 years 8 years 8 years 8 years 8 years android javascript php asp java pl sql j2ee ajax jdbc ejb soa jpa jdbc xml ant rdbms c s oracle 10 oracle 11 12c db2 pl 2 2 application servers weblogic technologies jsf sax apache axis 1 1 aws apache solr lucene mybatis software development eclipse cvs clear ms visio axis 2 primefaces git operating systems mockito powermock grinder,Java Developer,{2: 1.0}
491,Java Developer,java j2ee 7 years java j2ee experienced java application development object oriented concepts object oriented design ood object oriented analysis ooa object oriented programming oop java j2ee spring spring spring service web services soap restful experience struts spring hibernate developed model view control mvc jsp servlets expertise xml dtd schemas xsl jakarta jsf spring java query language unix pl sql oracle stored procedures db2 java ide net eclipse rational application developer sts oracle 10 sql 2008 db2 sql sql requirement specification analysis user training health insurance health science and investment banking march 2018 sdlc java j2ee implementing sprint cxf design java spring batch micro applications implemented j2ee business delegate and data reactnative designed business services spring framework xml hibernate spring cxf jenkins jms statuses developed junit log4j ci cd pipelines cucumber winscp jenkins sql jms spring spring cucumber sql ibm december 2016 to february 2018 sdlc analysis of the customer specifications development and customization value object pattern business delegate service locator session fa ade singleton factory j2ee jsp java beans spring java message services jms jms api created sql oracle developed web services xml soap log4j used junit environment java uml hibernate spring ajax xml eclipse oracle bea svn september 2013 to july 2016 sdlc design analysis agile struts javascript developed action validation java scripts ajax ibm sql sql server su weekly daily modifying unix their day to day java 1 junit javascript servlets jsp jdbc june 2011 to august 2013 business analyst and business users test driven development implemented the model view controller spring worked web services xml ui jsp jsp ajax inversion of control ioc struts soap utilized hibernate for object relational mapping orm db2 hibernate criteria hql tdd ide ibm jms db2 ibm university of massachusetts bea bea eclipse ejb j2ee,Java Developer,{2: 1.0}
